LLM,Strategy,File,Score
claude-sonnet-4,few_shot,NetworkToGraph_ComponentDeleted,98.36280822753906
claude-sonnet-4,few_shot,FamiliesToPersons_DeletedFamily,95.38113403320312
claude-sonnet-4,few_shot,NetworkToGraph_ComponentRenamed,95.47859191894531
claude-sonnet-4,few_shot,FamiliesToPersons_InsertedFamilyRegister,95.2335205078125
claude-sonnet-4,few_shot,AmaltheaToAscet_TaskCreated,73.46153259277344
claude-sonnet-4,few_shot,FamiliesToPersons_DeletedMember,94.6598892211914
claude-sonnet-4,few_shot,AmaltheaToAscet_ComponentContainerInsertedAsRoot,95.45182800292969
claude-sonnet-4,few_shot,NetworkToGraph_CreateAndRegisterRoot,97.85694122314453
claude-sonnet-4,few_shot,NetworkToGraph_ComponentInsertedIntoSystem,92.83662414550781
claude-sonnet-4,few_shot,FamiliesToPersons_CreatedFather,84.39433288574219
claude-sonnet-4,few_shot,AmaltheaToAscet_TaskDeleted,86.64656066894531
claude-sonnet-4,few_shots_AND_grammar_AND_helper,FamiliesToPersons_DeletedMember,91.9852294921875
claude-sonnet-4,few_shots_AND_grammar_AND_helper,NetworkToGraph_CreateAndRegisterRoot,97.85694122314453
claude-sonnet-4,few_shots_AND_grammar_AND_helper,FamiliesToPersons_DeletedFamily,83.57958221435547
claude-sonnet-4,few_shot,FamiliesToPersons_InsertedDaughter,76.41688537597656
claude-sonnet-4,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentRenamed,95.47859191894531
claude-sonnet-4,few_shots_AND_grammar_AND_helper,FamiliesToPersons_InsertedFamilyRegister,95.2335205078125
claude-sonnet-4,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentInsertedIntoSystem,90.4963607788086
claude-sonnet-4,few_shots_AND_grammar_AND_helper,FamiliesToPersons_CreatedFather,81.29852294921875
claude-sonnet-4,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentDeleted,98.36280822753906
claude-sonnet-4,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_TaskDeleted,86.64656066894531
claude-sonnet-4,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_TaskCreated,72.58892822265625
claude-sonnet-4,few_shots_AND_grammar,FamiliesToPersons_DeletedMember,91.76824951171875
claude-sonnet-4,few_shots_AND_grammar,NetworkToGraph_CreateAndRegisterRoot,97.85694122314453
claude-sonnet-4,few_shots_AND_grammar,FamiliesToPersons_InsertedFamilyRegister,95.2335205078125
claude-sonnet-4,few_shots_AND_grammar,NetworkToGraph_ComponentRenamed,95.47859191894531
claude-sonnet-4,few_shots_AND_grammar,NetworkToGraph_ComponentDeleted,98.36280822753906
