LLM,Strategy,File,Parsed,ProblemCount,CHRF_Score
claude-sonnet-4,few_shot,AmaltheaToAscet_All,False,2,77.2003
claude-sonnet-4,few_shot,BibTeX2DocBook_All,True,0,52.8886
claude-sonnet-4,few_shot,CPL2SPL_All,False,1,62.2161
claude-sonnet-4,few_shot,Class2Interface_All,True,0,62.7906
claude-sonnet-4,few_shot,DSL2KM3_All,True,0,43.487
claude-sonnet-4,few_shot,Document2Report_All,True,0,57.7197
claude-sonnet-4,few_shot,FamiliesToPersons_All,True,0,87.7746
claude-sonnet-4,few_shot,Grafcet2PetriNet_All,True,0,36.1627
claude-sonnet-4,few_shot,IEEE1471_2_MoDAF_All,True,0,53.6805
claude-sonnet-4,few_shot,Item2Product_All,True,0,62.5998
claude-sonnet-4,few_shot,Make2Ant_All,True,0,49.7531
claude-sonnet-4,few_shot,NetworkToGraph_All,True,0,98.9943
claude-sonnet-4,few_shot,PetriNet2Grafcet_All,True,0,35.7789
claude-sonnet-4,few_shot,User2Account_All,True,0,62.2029
claude-sonnet-4,few_shot,XML2DSL_All,False,1,44.2361
claude-sonnet-4,few_shots_AND_grammar,AmaltheaToAscet_All,True,0,79.7403
claude-sonnet-4,few_shots_AND_grammar,BibTeX2DocBook_All,True,0,50.3454
claude-sonnet-4,few_shots_AND_grammar,CPL2SPL_All,False,1,61.4874
claude-sonnet-4,few_shots_AND_grammar,Class2Interface_All,True,0,62.7906
claude-sonnet-4,few_shots_AND_grammar,DSL2KM3_All,True,0,43.3719
claude-sonnet-4,few_shots_AND_grammar,Document2Report_All,True,0,57.7197
claude-sonnet-4,few_shots_AND_grammar,FamiliesToPersons_All,True,0,87.7746
claude-sonnet-4,few_shots_AND_grammar,Grafcet2PetriNet_All,True,0,36.0762
claude-sonnet-4,few_shots_AND_grammar,IEEE1471_2_MoDAF_All,True,0,52.8013
claude-sonnet-4,few_shots_AND_grammar,Item2Product_All,True,0,62.5998
claude-sonnet-4,few_shots_AND_grammar,Make2Ant_All,True,0,49.6382
claude-sonnet-4,few_shots_AND_grammar,NetworkToGraph_All,True,0,98.9943
claude-sonnet-4,few_shots_AND_grammar,PetriNet2Grafcet_All,True,0,35.4065
claude-sonnet-4,few_shots_AND_grammar,User2Account_All,True,0,62.2029
claude-sonnet-4,few_shots_AND_grammar,XML2DSL_All,False,2,39.1329
claude-sonnet-4,grammar,AmaltheaToAscet_All,True,0,84.2726
claude-sonnet-4,grammar,BibTeX2DocBook_All,True,0,51.2652
claude-sonnet-4,grammar,CPL2SPL_All,False,1,52.6929
claude-sonnet-4,grammar,Class2Interface_All,True,0,62.7906
claude-sonnet-4,grammar,DSL2KM3_All,True,0,38.3026
claude-sonnet-4,grammar,Document2Report_All,True,0,57.7197
claude-sonnet-4,grammar,FamiliesToPersons_All,True,0,88.231
claude-sonnet-4,grammar,Grafcet2PetriNet_All,True,0,36.0111
claude-sonnet-4,grammar,IEEE1471_2_MoDAF_All,True,0,52.3255
claude-sonnet-4,grammar,Item2Product_All,True,0,59.3842
claude-sonnet-4,grammar,Make2Ant_All,True,0,50.3889
claude-sonnet-4,grammar,NetworkToGraph_All,True,0,96.1684
claude-sonnet-4,grammar,PetriNet2Grafcet_All,True,0,37.9253
claude-sonnet-4,grammar,User2Account_All,True,0,58.9108
claude-sonnet-4,grammar,XML2DSL_All,False,1,42.7674
claude-sonnet-4,only_prompt,AmaltheaToAscet_All,True,0,82.1362
claude-sonnet-4,only_prompt,BibTeX2DocBook_All,True,0,53.4473
claude-sonnet-4,only_prompt,CPL2SPL_All,False,1,59.7417
claude-sonnet-4,only_prompt,Class2Interface_All,True,0,62.7906
claude-sonnet-4,only_prompt,DSL2KM3_All,True,0,47.2802
claude-sonnet-4,only_prompt,Document2Report_All,True,0,61.2764
claude-sonnet-4,only_prompt,FamiliesToPersons_All,True,0,85.1978
claude-sonnet-4,only_prompt,Grafcet2PetriNet_All,True,0,36.109
claude-sonnet-4,only_prompt,IEEE1471_2_MoDAF_All,True,0,49.0696
claude-sonnet-4,only_prompt,Item2Product_All,True,0,63.3176
claude-sonnet-4,only_prompt,Make2Ant_All,True,0,50.3574
claude-sonnet-4,only_prompt,NetworkToGraph_All,False,4,74.3856
claude-sonnet-4,only_prompt,PetriNet2Grafcet_All,True,0,37.3943
claude-sonnet-4,only_prompt,User2Account_All,True,0,59.9114
claude-sonnet-4,only_prompt,XML2DSL_All,False,1,43.8081
gemini-2-5-pro,few_shot,AmaltheaToAscet_All,False,1,88.119
gemini-2-5-pro,few_shot,BibTeX2DocBook_All,True,0,44.9629
gemini-2-5-pro,few_shot,CPL2SPL_All,False,1,61.5847
gemini-2-5-pro,few_shot,Class2Interface_All,True,0,61.876
gemini-2-5-pro,few_shot,DSL2KM3_All,True,0,41.0192
gemini-2-5-pro,few_shot,Document2Report_All,True,0,57.7197
gemini-2-5-pro,few_shot,FamiliesToPersons_All,True,0,87.4033
gemini-2-5-pro,few_shot,Grafcet2PetriNet_All,True,0,34.6025
gemini-2-5-pro,few_shot,IEEE1471_2_MoDAF_All,False,1,52.2957
gemini-2-5-pro,few_shot,Item2Product_All,True,0,63.3176
gemini-2-5-pro,few_shot,Make2Ant_All,True,0,49.5889
gemini-2-5-pro,few_shot,NetworkToGraph_All,True,0,93.3363
gemini-2-5-pro,few_shot,PetriNet2Grafcet_All,True,0,35.775
gemini-2-5-pro,few_shot,User2Account_All,True,0,60.2551
gemini-2-5-pro,few_shot,XML2DSL_All,False,4,44.549
gemini-2-5-pro,few_shots_AND_grammar,AmaltheaToAscet_All,True,0,88.8112
gemini-2-5-pro,few_shots_AND_grammar,BibTeX2DocBook_All,True,0,53.0188
gemini-2-5-pro,few_shots_AND_grammar,CPL2SPL_All,False,1,59.4197
gemini-2-5-pro,few_shots_AND_grammar,Class2Interface_All,True,0,55.1908
gemini-2-5-pro,few_shots_AND_grammar,DSL2KM3_All,True,0,43.6814
gemini-2-5-pro,few_shots_AND_grammar,Document2Report_All,True,0,57.7197
gemini-2-5-pro,few_shots_AND_grammar,FamiliesToPersons_All,True,0,90.8194
gemini-2-5-pro,few_shots_AND_grammar,Grafcet2PetriNet_All,True,0,34.6025
