LLM,Strategy,File,Parsed,ProblemCount
claude-sonnet-4,few_shot,base,True,0
claude-sonnet-4,few_shot,equivalent,True,0
claude-sonnet-4,few_shot,greedy,True,0
claude-sonnet-4,few_shot,inheritance,True,0
claude-sonnet-4,few_shot,lazy,True,0
claude-sonnet-4,few_shot,multiple_targets,True,0
claude-sonnet-4,few_shot,OO2DB,False,10
claude-sonnet-4,few_shot,primary,True,0
claude-sonnet-4,few_shot,rss2atom,True,0
claude-sonnet-4,few_shot,Tree2Graph,True,0
claude-sonnet-4,few_shots_AND_grammar,base,True,0
claude-sonnet-4,few_shots_AND_grammar,equivalent,True,0
claude-sonnet-4,few_shots_AND_grammar,greedy,True,0
claude-sonnet-4,few_shots_AND_grammar,inheritance,False,1
claude-sonnet-4,few_shots_AND_grammar,lazy,True,0
claude-sonnet-4,few_shots_AND_grammar,multiple_targets,True,0
claude-sonnet-4,few_shots_AND_grammar,OO2DB,False,4
claude-sonnet-4,few_shots_AND_grammar,primary,True,0
claude-sonnet-4,few_shots_AND_grammar,rss2atom,True,0
claude-sonnet-4,few_shots_AND_grammar,Tree2Graph,True,0
claude-sonnet-4,grammar,base,True,0
claude-sonnet-4,grammar,equivalent,True,0
claude-sonnet-4,grammar,greedy,True,0
claude-sonnet-4,grammar,inheritance,True,0
claude-sonnet-4,grammar,lazy,True,0
claude-sonnet-4,grammar,multiple_targets,True,0
claude-sonnet-4,grammar,OO2DB,False,4
claude-sonnet-4,grammar,primary,True,0
claude-sonnet-4,grammar,rss2atom,False,6
claude-sonnet-4,grammar,Tree2Graph,True,0
claude-sonnet-4,only_prompt,base,True,0
claude-sonnet-4,only_prompt,equivalent,True,0
claude-sonnet-4,only_prompt,greedy,True,0
claude-sonnet-4,only_prompt,inheritance,True,0
claude-sonnet-4,only_prompt,lazy,True,0
claude-sonnet-4,only_prompt,multiple_targets,True,0
claude-sonnet-4,only_prompt,OO2DB,False,10
claude-sonnet-4,only_prompt,primary,True,0
claude-sonnet-4,only_prompt,rss2atom,True,0
claude-sonnet-4,only_prompt,Tree2Graph,True,0
gemini-2-5-pro,few_shot,base,True,0
gemini-2-5-pro,few_shot,equivalent,False,1
gemini-2-5-pro,few_shot,greedy,True,0
gemini-2-5-pro,few_shot,inheritance,False,2
gemini-2-5-pro,few_shot,lazy,False,1
gemini-2-5-pro,few_shot,multiple_targets,True,0
gemini-2-5-pro,few_shot,OO2DB,False,7
gemini-2-5-pro,few_shot,primary,False,1
gemini-2-5-pro,few_shot,rss2atom,False,1
gemini-2-5-pro,few_shot,Tree2Graph,True,0
gemini-2-5-pro,few_shots_AND_grammar,base,False,1
gemini-2-5-pro,few_shots_AND_grammar,equivalent,False,1
gemini-2-5-pro,few_shots_AND_grammar,greedy,True,0
gemini-2-5-pro,few_shots_AND_grammar,inheritance,False,1
gemini-2-5-pro,few_shots_AND_grammar,lazy,False,1
gemini-2-5-pro,few_shots_AND_grammar,multiple_targets,False,1
gemini-2-5-pro,few_shots_AND_grammar,OO2DB,False,1
gemini-2-5-pro,few_shots_AND_grammar,primary,False,1
gemini-2-5-pro,few_shots_AND_grammar,rss2atom,False,1
gemini-2-5-pro,few_shots_AND_grammar,Tree2Graph,True,0
gemini-2-5-pro,grammar,base,False,1
gemini-2-5-pro,grammar,equivalent,False,1
gemini-2-5-pro,grammar,greedy,True,0
gemini-2-5-pro,grammar,inheritance,False,1
gemini-2-5-pro,grammar,lazy,False,1
gemini-2-5-pro,grammar,multiple_targets,False,1
gemini-2-5-pro,grammar,OO2DB,False,1
gemini-2-5-pro,grammar,primary,False,1
gemini-2-5-pro,grammar,rss2atom,False,1
gemini-2-5-pro,grammar,Tree2Graph,False,1
gemini-2-5-pro,only_prompt,base,False,1
gemini-2-5-pro,only_prompt,equivalent,False,1
gemini-2-5-pro,only_prompt,greedy,False,1
gemini-2-5-pro,only_prompt,inheritance,False,1
gemini-2-5-pro,only_prompt,lazy,False,1
gemini-2-5-pro,only_prompt,multiple_targets,False,1
gemini-2-5-pro,only_prompt,OO2DB,False,1
gemini-2-5-pro,only_prompt,primary,False,1
gemini-2-5-pro,only_prompt,rss2atom,False,1
gemini-2-5-pro,only_prompt,Tree2Graph,False,2
gpt-5,few_shot,base,True,0
gpt-5,few_shot,equivalent,True,0
gpt-5,few_shot,greedy,True,0
gpt-5,few_shot,inheritance,True,0
gpt-5,few_shot,lazy,True,0
gpt-5,few_shot,multiple_targets,True,0
gpt-5,few_shot,OO2DB,False,1
gpt-5,few_shot,primary,True,0
gpt-5,few_shot,rss2atom,True,0
gpt-5,few_shot,Tree2Graph,True,0
gpt-5,few_shots_AND_grammar,base,True,0
gpt-5,few_shots_AND_grammar,equivalent,True,0
gpt-5,few_shots_AND_grammar,greedy,True,0
gpt-5,few_shots_AND_grammar,inheritance,True,0
gpt-5,few_shots_AND_grammar,lazy,True,0
gpt-5,few_shots_AND_grammar,multiple_targets,True,0
gpt-5,few_shots_AND_grammar,OO2DB,False,9
gpt-5,few_shots_AND_grammar,primary,True,0
gpt-5,few_shots_AND_grammar,rss2atom,False,9
gpt-5,few_shots_AND_grammar,Tree2Graph,True,0
gpt-5,grammar,base,True,0
gpt-5,grammar,equivalent,True,0
gpt-5,grammar,greedy,True,0
gpt-5,grammar,inheritance,False,1
gpt-5,grammar,lazy,True,0
gpt-5,grammar,multiple_targets,True,0
gpt-5,grammar,OO2DB,False,13
gpt-5,grammar,primary,True,0
gpt-5,grammar,rss2atom,True,0
gpt-5,grammar,Tree2Graph,False,3
gpt-5,only_prompt,base,True,0
gpt-5,only_prompt,equivalent,True,0
gpt-5,only_prompt,greedy,True,0
gpt-5,only_prompt,inheritance,True,0
gpt-5,only_prompt,lazy,False,7
gpt-5,only_prompt,multiple_targets,True,0
gpt-5,only_prompt,OO2DB,False,17
gpt-5,only_prompt,primary,True,0
gpt-5,only_prompt,rss2atom,True,0
gpt-5,only_prompt,Tree2Graph,False,3
