LLM,Strategy,File,CHRF_Score
claude-sonnet-4,few_shot,AmaltheaToAscet_All,77.2003
claude-sonnet-4,few_shot,BibTeX2DocBook_All,52.8886
claude-sonnet-4,few_shot,Class2Interface_All,62.7906
claude-sonnet-4,few_shot,CPL2SPL_All,62.2161
claude-sonnet-4,few_shot,Document2Report_All,57.7197
claude-sonnet-4,few_shot,DSL2KM3_All,43.487
claude-sonnet-4,few_shot,FamiliesToPersons_All,87.7746
claude-sonnet-4,few_shot,Grafcet2PetriNet_All,36.1627
claude-sonnet-4,few_shot,IEEE1471_2_MoDAF_All,53.6805
claude-sonnet-4,few_shot,Item2Product_All,62.5998
claude-sonnet-4,few_shot,Make2Ant_All,49.7531
claude-sonnet-4,few_shot,NetworkToGraph_All,98.9943
claude-sonnet-4,few_shot,PetriNet2Grafcet_All,35.7789
claude-sonnet-4,few_shot,User2Account_All,62.2029
claude-sonnet-4,few_shot,XML2DSL_All,44.2361
claude-sonnet-4,few_shots_AND_grammar,AmaltheaToAscet_All,79.7403
claude-sonnet-4,few_shots_AND_grammar,BibTeX2DocBook_All,50.3454
claude-sonnet-4,few_shots_AND_grammar,Class2Interface_All,62.7906
claude-sonnet-4,few_shots_AND_grammar,CPL2SPL_All,61.4874
claude-sonnet-4,few_shots_AND_grammar,Document2Report_All,57.7197
claude-sonnet-4,few_shots_AND_grammar,DSL2KM3_All,43.3719
claude-sonnet-4,few_shots_AND_grammar,FamiliesToPersons_All,87.7746
claude-sonnet-4,few_shots_AND_grammar,Grafcet2PetriNet_All,36.0762
claude-sonnet-4,few_shots_AND_grammar,IEEE1471_2_MoDAF_All,52.8013
claude-sonnet-4,few_shots_AND_grammar,Item2Product_All,62.5998
claude-sonnet-4,few_shots_AND_grammar,Make2Ant_All,49.6382
claude-sonnet-4,few_shots_AND_grammar,NetworkToGraph_All,98.9943
claude-sonnet-4,few_shots_AND_grammar,PetriNet2Grafcet_All,35.4065
claude-sonnet-4,few_shots_AND_grammar,User2Account_All,62.2029
claude-sonnet-4,few_shots_AND_grammar,XML2DSL_All,39.1329
claude-sonnet-4,grammar,AmaltheaToAscet_All,84.2726
claude-sonnet-4,grammar,BibTeX2DocBook_All,51.2652
claude-sonnet-4,grammar,Class2Interface_All,62.7906
claude-sonnet-4,grammar,CPL2SPL_All,52.6929
claude-sonnet-4,grammar,Document2Report_All,57.7197
claude-sonnet-4,grammar,DSL2KM3_All,38.3026
claude-sonnet-4,grammar,FamiliesToPersons_All,88.231
claude-sonnet-4,grammar,Grafcet2PetriNet_All,36.0111
claude-sonnet-4,grammar,IEEE1471_2_MoDAF_All,52.3255
claude-sonnet-4,grammar,Item2Product_All,59.3842
