LLM,Strategy,LOC_Group,Total,Unparsed,Unparsed_Rate(%),Total_Problems
claude-sonnet-4,few_shot,LOC<50,7,1,14.3,2
claude-sonnet-4,few_shots_AND_grammar,LOC<50,7,0,0.0,0
claude-sonnet-4,grammar,LOC<50,7,0,0.0,0
claude-sonnet-4,only_prompt,LOC<50,7,1,14.3,4
gemini-2-5-pro,few_shot,LOC<50,7,1,14.3,1
gemini-2-5-pro,few_shots_AND_grammar,LOC<50,7,0,0.0,0
gemini-2-5-pro,grammar,LOC<50,7,1,14.3,3
gemini-2-5-pro,only_prompt,LOC<50,7,1,14.3,2
gpt-5,few_shot,LOC<50,6,0,0.0,0
gpt-5,few_shots_AND_grammar,LOC<50,7,0,0.0,0
gpt-5,grammar,LOC<50,7,2,28.6,8
gpt-5,only_prompt,LOC<50,7,1,14.3,1
OVERALL,,LOC<50,83,8,9.6,21
claude-sonnet-4,few_shot,LOC>=50,8,2,25.0,2
claude-sonnet-4,few_shots_AND_grammar,LOC>=50,8,2,25.0,3
claude-sonnet-4,grammar,LOC>=50,8,2,25.0,2
claude-sonnet-4,only_prompt,LOC>=50,8,2,25.0,2
gemini-2-5-pro,few_shot,LOC>=50,8,3,37.5,6
gemini-2-5-pro,few_shots_AND_grammar,LOC>=50,8,2,25.0,3
gemini-2-5-pro,grammar,LOC>=50,8,3,37.5,40
gemini-2-5-pro,only_prompt,LOC>=50,8,3,37.5,40
gpt-5,few_shot,LOC>=50,9,3,33.3,8
gpt-5,few_shots_AND_grammar,LOC>=50,8,2,25.0,6
gpt-5,grammar,LOC>=50,8,7,87.5,962
gpt-5,only_prompt,LOC>=50,8,3,37.5,17
OVERALL,,LOC>=50,97,34,35.1,1091
