LLM,Strategy,File,Parsed,ProblemCount
claude-sonnet-4,few_shot,AmaltheaToAscet_All,False,2
claude-sonnet-4,few_shot,BibTeX2DocBook_All,True,0
claude-sonnet-4,few_shot,Class2Interface_All,True,0
claude-sonnet-4,few_shot,CPL2SPL_All,False,1
claude-sonnet-4,few_shot,Document2Report_All,True,0
claude-sonnet-4,few_shot,DSL2KM3_All,True,0
claude-sonnet-4,few_shot,FamiliesToPersons_All,True,0
claude-sonnet-4,few_shot,Grafcet2PetriNet_All,True,0
claude-sonnet-4,few_shot,IEEE1471_2_MoDAF_All,True,0
claude-sonnet-4,few_shot,Item2Product_All,True,0
claude-sonnet-4,few_shot,Make2Ant_All,True,0
claude-sonnet-4,few_shot,NetworkToGraph_All,True,0
claude-sonnet-4,few_shot,PetriNet2Grafcet_All,True,0
claude-sonnet-4,few_shot,User2Account_All,True,0
claude-sonnet-4,few_shot,XML2DSL_All,False,1
claude-sonnet-4,few_shots_AND_grammar,AmaltheaToAscet_All,True,0
claude-sonnet-4,few_shots_AND_grammar,BibTeX2DocBook_All,True,0
claude-sonnet-4,few_shots_AND_grammar,Class2Interface_All,True,0
claude-sonnet-4,few_shots_AND_grammar,CPL2SPL_All,False,1
claude-sonnet-4,few_shots_AND_grammar,Document2Report_All,True,0
claude-sonnet-4,few_shots_AND_grammar,DSL2KM3_All,True,0
claude-sonnet-4,few_shots_AND_grammar,FamiliesToPersons_All,True,0
claude-sonnet-4,few_shots_AND_grammar,Grafcet2PetriNet_All,True,0
claude-sonnet-4,few_shots_AND_grammar,IEEE1471_2_MoDAF_All,True,0
claude-sonnet-4,few_shots_AND_grammar,Item2Product_All,True,0
claude-sonnet-4,few_shots_AND_grammar,Make2Ant_All,True,0
claude-sonnet-4,few_shots_AND_grammar,NetworkToGraph_All,True,0
claude-sonnet-4,few_shots_AND_grammar,PetriNet2Grafcet_All,True,0
claude-sonnet-4,few_shots_AND_grammar,User2Account_All,True,0
claude-sonnet-4,few_shots_AND_grammar,XML2DSL_All,False,2
claude-sonnet-4,grammar,AmaltheaToAscet_All,True,0
claude-sonnet-4,grammar,BibTeX2DocBook_All,True,0
claude-sonnet-4,grammar,Class2Interface_All,True,0
claude-sonnet-4,grammar,CPL2SPL_All,False,1
claude-sonnet-4,grammar,Document2Report_All,True,0
claude-sonnet-4,grammar,DSL2KM3_All,True,0
claude-sonnet-4,grammar,FamiliesToPersons_All,True,0
claude-sonnet-4,grammar,Grafcet2PetriNet_All,True,0
claude-sonnet-4,grammar,IEEE1471_2_MoDAF_All,True,0
claude-sonnet-4,grammar,Item2Product_All,True,0
claude-sonnet-4,grammar,Make2Ant_All,True,0
