LLM,Strategy,File,CHRF_Score
claude-sonnet-4,few_shot,base,100.0
claude-sonnet-4,few_shot,equivalent,61.4592
claude-sonnet-4,few_shot,greedy,87.7697
claude-sonnet-4,few_shot,inheritance,70.2312
claude-sonnet-4,few_shot,lazy,86.7036
claude-sonnet-4,few_shot,multiple_targets,82.1464
claude-sonnet-4,few_shot,OO2DB,59.1845
claude-sonnet-4,few_shot,primary,72.7066
claude-sonnet-4,few_shot,rss2atom,58.8422
claude-sonnet-4,few_shot,Tree2Graph,67.5243
claude-sonnet-4,few_shots_AND_grammar,base,100.0
claude-sonnet-4,few_shots_AND_grammar,equivalent,61.4592
claude-sonnet-4,few_shots_AND_grammar,greedy,87.7697
claude-sonnet-4,few_shots_AND_grammar,inheritance,69.2399
claude-sonnet-4,few_shots_AND_grammar,lazy,86.7036
claude-sonnet-4,few_shots_AND_grammar,multiple_targets,82.0576
claude-sonnet-4,few_shots_AND_grammar,OO2DB,59.374
claude-sonnet-4,few_shots_AND_grammar,primary,72.4282
claude-sonnet-4,few_shots_AND_grammar,rss2atom,55.3885
claude-sonnet-4,few_shots_AND_grammar,Tree2Graph,67.5243
claude-sonnet-4,grammar,base,78.0515
claude-sonnet-4,grammar,equivalent,48.6805
claude-sonnet-4,grammar,greedy,74.1624
claude-sonnet-4,grammar,inheritance,62.4488
claude-sonnet-4,grammar,lazy,68.8522
claude-sonnet-4,grammar,multiple_targets,49.4912
claude-sonnet-4,grammar,OO2DB,58.0534
claude-sonnet-4,grammar,primary,68.6596
claude-sonnet-4,grammar,rss2atom,57.6684
claude-sonnet-4,grammar,Tree2Graph,53.9866
claude-sonnet-4,only_prompt,base,78.0515
claude-sonnet-4,only_prompt,equivalent,44.3631
claude-sonnet-4,only_prompt,greedy,66.5585
claude-sonnet-4,only_prompt,inheritance,62.4488
claude-sonnet-4,only_prompt,lazy,61.6081
claude-sonnet-4,only_prompt,multiple_targets,53.5879
claude-sonnet-4,only_prompt,OO2DB,57.9069
claude-sonnet-4,only_prompt,primary,66.9037
claude-sonnet-4,only_prompt,rss2atom,55.7341
claude-sonnet-4,only_prompt,Tree2Graph,63.8728
gemini-2-5-pro,few_shot,base,91.5658
gemini-2-5-pro,few_shot,equivalent,56.0247
gemini-2-5-pro,few_shot,greedy,76.2121
gemini-2-5-pro,few_shot,inheritance,62.4759
gemini-2-5-pro,few_shot,lazy,83.2568
gemini-2-5-pro,few_shot,multiple_targets,82.6152
gemini-2-5-pro,few_shot,OO2DB,55.8265
gemini-2-5-pro,few_shot,primary,75.6086
gemini-2-5-pro,few_shot,rss2atom,62.9301
gemini-2-5-pro,few_shot,Tree2Graph,67.5243
gemini-2-5-pro,few_shots_AND_grammar,base,86.8102
gemini-2-5-pro,few_shots_AND_grammar,equivalent,57.5525
gemini-2-5-pro,few_shots_AND_grammar,greedy,76.2121
gemini-2-5-pro,few_shots_AND_grammar,inheritance,65.1394
gemini-2-5-pro,few_shots_AND_grammar,lazy,77.0858
gemini-2-5-pro,few_shots_AND_grammar,multiple_targets,79.3424
gemini-2-5-pro,few_shots_AND_grammar,OO2DB,57.3603
gemini-2-5-pro,few_shots_AND_grammar,primary,77.1019
gemini-2-5-pro,few_shots_AND_grammar,rss2atom,62.7012
gemini-2-5-pro,few_shots_AND_grammar,Tree2Graph,67.5243
gemini-2-5-pro,grammar,base,79.3285
gemini-2-5-pro,grammar,equivalent,53.7306
gemini-2-5-pro,grammar,greedy,74.1624
gemini-2-5-pro,grammar,inheritance,62.2998
gemini-2-5-pro,grammar,lazy,68.8855
gemini-2-5-pro,grammar,multiple_targets,50.1199
gemini-2-5-pro,grammar,OO2DB,53.6776
gemini-2-5-pro,grammar,primary,68.0455
gemini-2-5-pro,grammar,rss2atom,60.2549
gemini-2-5-pro,grammar,Tree2Graph,58.1219
gemini-2-5-pro,only_prompt,base,64.5364
gemini-2-5-pro,only_prompt,equivalent,50.4617
gemini-2-5-pro,only_prompt,greedy,56.4852
gemini-2-5-pro,only_prompt,inheritance,61.5613
gemini-2-5-pro,only_prompt,lazy,66.5845
gemini-2-5-pro,only_prompt,multiple_targets,53.4436
gemini-2-5-pro,only_prompt,OO2DB,57.3654
gemini-2-5-pro,only_prompt,primary,74.4636
gemini-2-5-pro,only_prompt,rss2atom,54.9354
gemini-2-5-pro,only_prompt,Tree2Graph,65.5893
gpt-5,few_shot,base,91.5658
gpt-5,few_shot,equivalent,61.4592
gpt-5,few_shot,greedy,78.4425
gpt-5,few_shot,inheritance,63.5713
gpt-5,few_shot,lazy,91.1631
gpt-5,few_shot,multiple_targets,81.0291
gpt-5,few_shot,OO2DB,60.4327
gpt-5,few_shot,primary,73.5762
gpt-5,few_shot,rss2atom,70.736
gpt-5,few_shot,Tree2Graph,67.5243
gpt-5,few_shots_AND_grammar,base,91.5658
gpt-5,few_shots_AND_grammar,equivalent,59.2536
gpt-5,few_shots_AND_grammar,greedy,87.7697
gpt-5,few_shots_AND_grammar,inheritance,63.5713
gpt-5,few_shots_AND_grammar,lazy,91.1631
gpt-5,few_shots_AND_grammar,multiple_targets,81.0291
gpt-5,few_shots_AND_grammar,OO2DB,64.7587
gpt-5,few_shots_AND_grammar,primary,75.6777
gpt-5,few_shots_AND_grammar,rss2atom,69.6167
gpt-5,few_shots_AND_grammar,Tree2Graph,67.5243
gpt-5,grammar,base,76.7923
gpt-5,grammar,equivalent,47.6078
gpt-5,grammar,greedy,74.1624
gpt-5,grammar,inheritance,61.1257
gpt-5,grammar,lazy,70.4309
gpt-5,grammar,multiple_targets,63.0183
