LLM,Strategy,File,Parsed,ProblemCount,CHRF_Score
claude-sonnet-4,few_shot,OO2DB,False,10,59.1845
claude-sonnet-4,few_shot,Tree2Graph,True,0,67.5243
claude-sonnet-4,few_shot,base,True,0,100.0
claude-sonnet-4,few_shot,equivalent,True,0,61.4592
claude-sonnet-4,few_shot,greedy,True,0,87.7697
claude-sonnet-4,few_shot,inheritance,True,0,70.2312
claude-sonnet-4,few_shot,lazy,True,0,86.7036
claude-sonnet-4,few_shot,multiple_targets,True,0,82.1464
claude-sonnet-4,few_shot,primary,True,0,72.7066
claude-sonnet-4,few_shot,rss2atom,True,0,58.8422
claude-sonnet-4,few_shots_AND_grammar,OO2DB,False,4,59.374
claude-sonnet-4,few_shots_AND_grammar,Tree2Graph,True,0,67.5243
claude-sonnet-4,few_shots_AND_grammar,base,True,0,100.0
claude-sonnet-4,few_shots_AND_grammar,equivalent,True,0,61.4592
claude-sonnet-4,few_shots_AND_grammar,greedy,True,0,87.7697
claude-sonnet-4,few_shots_AND_grammar,inheritance,False,1,69.2399
claude-sonnet-4,few_shots_AND_grammar,lazy,True,0,86.7036
claude-sonnet-4,few_shots_AND_grammar,multiple_targets,True,0,82.0576
claude-sonnet-4,few_shots_AND_grammar,primary,True,0,72.4282
claude-sonnet-4,few_shots_AND_grammar,rss2atom,True,0,55.3885
claude-sonnet-4,grammar,OO2DB,False,4,58.0534
claude-sonnet-4,grammar,Tree2Graph,True,0,53.9866
claude-sonnet-4,grammar,base,True,0,78.0515
claude-sonnet-4,grammar,equivalent,True,0,48.6805
claude-sonnet-4,grammar,greedy,True,0,74.1624
claude-sonnet-4,grammar,inheritance,True,0,62.4488
claude-sonnet-4,grammar,lazy,True,0,68.8522
claude-sonnet-4,grammar,multiple_targets,True,0,49.4912
claude-sonnet-4,grammar,primary,True,0,68.6596
claude-sonnet-4,grammar,rss2atom,False,6,57.6684
claude-sonnet-4,only_prompt,OO2DB,False,10,57.9069
claude-sonnet-4,only_prompt,Tree2Graph,True,0,63.8728
claude-sonnet-4,only_prompt,base,True,0,78.0515
claude-sonnet-4,only_prompt,equivalent,True,0,44.3631
claude-sonnet-4,only_prompt,greedy,True,0,66.5585
claude-sonnet-4,only_prompt,inheritance,True,0,62.4488
claude-sonnet-4,only_prompt,lazy,True,0,61.6081
claude-sonnet-4,only_prompt,multiple_targets,True,0,53.5879
claude-sonnet-4,only_prompt,primary,True,0,66.9037
claude-sonnet-4,only_prompt,rss2atom,True,0,55.7341
gemini-2-5-pro,few_shot,OO2DB,False,7,55.8265
gemini-2-5-pro,few_shot,Tree2Graph,True,0,67.5243
gemini-2-5-pro,few_shot,base,True,0,91.5658
gemini-2-5-pro,few_shot,equivalent,False,1,56.0247
gemini-2-5-pro,few_shot,greedy,True,0,76.2121
gemini-2-5-pro,few_shot,inheritance,False,2,62.4759
gemini-2-5-pro,few_shot,lazy,False,1,83.2568
gemini-2-5-pro,few_shot,multiple_targets,True,0,82.6152
gemini-2-5-pro,few_shot,primary,False,1,75.6086
gemini-2-5-pro,few_shot,rss2atom,False,1,62.9301
gemini-2-5-pro,few_shots_AND_grammar,OO2DB,False,1,57.3603
gemini-2-5-pro,few_shots_AND_grammar,Tree2Graph,True,0,67.5243
gemini-2-5-pro,few_shots_AND_grammar,base,False,1,86.8102
gemini-2-5-pro,few_shots_AND_grammar,equivalent,False,1,57.5525
gemini-2-5-pro,few_shots_AND_grammar,greedy,True,0,76.2121
gemini-2-5-pro,few_shots_AND_grammar,inheritance,False,1,65.1394
gemini-2-5-pro,few_shots_AND_grammar,lazy,False,1,77.0858
gemini-2-5-pro,few_shots_AND_grammar,multiple_targets,False,1,79.3424
gemini-2-5-pro,few_shots_AND_grammar,primary,False,1,77.1019
gemini-2-5-pro,few_shots_AND_grammar,rss2atom,False,1,62.7012
gemini-2-5-pro,grammar,OO2DB,False,1,53.6776
gemini-2-5-pro,grammar,Tree2Graph,False,1,58.1219
gemini-2-5-pro,grammar,base,False,1,79.3285
gemini-2-5-pro,grammar,equivalent,False,1,53.7306
gemini-2-5-pro,grammar,greedy,True,0,74.1624
gemini-2-5-pro,grammar,inheritance,False,1,62.2998
gemini-2-5-pro,grammar,lazy,False,1,68.8855
gemini-2-5-pro,grammar,multiple_targets,False,1,50.1199
gemini-2-5-pro,grammar,primary,False,1,68.0455
gemini-2-5-pro,grammar,rss2atom,False,1,60.2549
gemini-2-5-pro,only_prompt,OO2DB,False,1,57.3654
gemini-2-5-pro,only_prompt,Tree2Graph,False,2,65.5893
gemini-2-5-pro,only_prompt,base,False,1,64.5364
gemini-2-5-pro,only_prompt,equivalent,False,1,50.4617
gemini-2-5-pro,only_prompt,greedy,False,1,56.4852
gemini-2-5-pro,only_prompt,inheritance,False,1,61.5613
gemini-2-5-pro,only_prompt,lazy,False,1,66.5845
gemini-2-5-pro,only_prompt,multiple_targets,False,1,53.4436
gemini-2-5-pro,only_prompt,primary,False,1,74.4636
gemini-2-5-pro,only_prompt,rss2atom,False,1,54.9354
