LLM,Strategy,Parsed
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shot,True
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shot,True
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4,few_shot,False
claude-sonnet-4,few_shot,True
claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,only_prompt,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,True
claude-sonnet-4,grammar,False
claude-sonnet-4,grammar,False
gpt-5,few_shot,False
gpt-5,few_shot,True
gpt-5,few_shot,True
gpt-5,few_shot,False
gpt-5,few_shot,True
gpt-5,few_shot,False
gpt-5,few_shot,False
gpt-5,few_shot,False
gpt-5,few_shot,False
gpt-5,few_shot,False
gpt-5,few_shot,False
gpt-5,few_shot,False
gpt-5,few_shots_AND_grammar_AND_helper,False
gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5,few_shots_AND_grammar_AND_helper,False
gpt-5,few_shots_AND_grammar_AND_helper,False
gpt-5,few_shots_AND_grammar_AND_helper,False
gpt-5,few_shots_AND_grammar_AND_helper,False
gpt-5,few_shots_AND_grammar_AND_helper,False
gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5,few_shots_AND_grammar_AND_helper,False
gpt-5,few_shots_AND_grammar,True
gpt-5,few_shots_AND_grammar,True
gpt-5,few_shots_AND_grammar,False
gpt-5,few_shots_AND_grammar,False
gpt-5,few_shots_AND_grammar,False
gpt-5,few_shots_AND_grammar,False
gpt-5,few_shots_AND_grammar,False
gpt-5,few_shots_AND_grammar,False
gpt-5,few_shots_AND_grammar,True
gpt-5,few_shots_AND_grammar,False
gpt-5,few_shots_AND_grammar,True
gpt-5,few_shots_AND_grammar,True
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,only_prompt,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gpt-5,grammar,False
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,True
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shot,True
gemini-2-5-pro,few_shot,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro,few_shots_AND_grammar,False
